movie_top,movie_name,movie_date,movie_country,movie_type
1,肖申克的救赎,1994,美国,犯罪/剧情
2,霸王别姬,1993,中国大陆/中国香港,剧情/爱情/同性
3,阿甘正传,1994,美国,剧情/爱情
4,这个杀手不太冷,1994,法国/美国,剧情/动作/犯罪
5,泰坦尼克号,1997,美国/墨西哥/澳大利亚/加拿大,剧情/爱情/灾难
6,美丽人生,1997,意大利,剧情/喜剧/爱情/战争
7,千与千寻,2001,日本,剧情/动画/奇幻
8,辛德勒的名单,1993,美国,剧情/历史/战争
9,盗梦空间,2010,美国/英国,剧情/科幻/悬疑/冒险
10,忠犬八公的故事,2009,美国/英国,剧情
11,星际穿越,2014,美国/英国/加拿大,剧情/科幻/冒险
12,楚门的世界,1998,美国,剧情/科幻
13,海上钢琴师,1998,意大利,剧情/音乐
14,三傻大闹宝莱坞,2009,印度,剧情/喜剧/爱情/歌舞
15,机器人总动员,2008,美国,科幻/动画/冒险
16,放牛班的春天,2004,法国/瑞士/德国,剧情/喜剧/音乐
17,无间道,2002,中国香港,剧情/犯罪/惊悚
18,疯狂动物城,2016,美国,喜剧/动画/冒险
19,大话西游之大圣娶亲,1995,中国香港/中国大陆,喜剧/爱情/奇幻/古装
20,熔炉,2011,韩国,剧情
21,教父,1972,美国,剧情/犯罪
22,当幸福来敲门,2006,美国,剧情/传记/家庭
23,龙猫,1988,日本,动画/奇幻/冒险
24,怦然心动,2010,美国,剧情/喜剧/爱情
25,控方证人,1957,美国,剧情/犯罪/悬疑
26,触不可及,2011,法国,剧情/喜剧
27,蝙蝠侠：黑暗骑士,2008,美国/英国,剧情/动作/科幻/犯罪/惊悚
28,末代皇帝,1987,英国/意大利/中国大陆/法国,剧情/传记/历史
29,寻梦环游记,2017,美国,喜剧/动画/奇幻/音乐
30,活着,1994,中国大陆/中国香港,剧情/历史/家庭
31,指环王3：王者无敌,2003,美国/新西兰,剧情/动作/奇幻/冒险
32,乱世佳人,1939,美国,剧情/历史/爱情/战争
33,何以为家,2018,黎巴嫩/美国/法国/塞浦路斯/卡塔尔/英国,剧情
34,哈利·波特与魔法石,2001,美国/英国,奇幻/冒险
35,飞屋环游记,2009,美国,剧情/喜剧/动画/冒险
36,素媛,2013,韩国,剧情
37,摔跤吧！爸爸,2016,印度,剧情/传记/运动/家庭
38,少年派的奇幻漂流,2012,美国/中国台湾/英国/加拿大,剧情/奇幻/冒险
39,十二怒汉,1957,美国,剧情
40,哈尔的移动城堡,2004,日本,动画/奇幻/冒险
41,鬼子来了,2000,中国大陆,剧情/喜剧
42,我不是药神,2018,中国大陆,剧情/喜剧
43,大话西游之月光宝盒,1995,中国香港/中国大陆,喜剧/爱情/奇幻/古装
44,天空之城,1986,日本,动画/奇幻/冒险
45,闻香识女人,1992,美国,剧情
46,罗马假日,1953,美国,喜剧/剧情/爱情
47,指环王2：双塔奇兵,2002,美国/新西兰,剧情/动作/奇幻/冒险
48,猫鼠游戏,2002,美国/加拿大,传记/犯罪/剧情
49,天堂电影院,1988,意大利/法国,剧情/爱情
50,辩护人,2013,韩国,剧情
51,指环王1：护戒使者,2001,新西兰/美国,剧情/动作/奇幻/冒险
52,大闹天宫,1961,中国大陆,动画/奇幻
53,钢琴家,2002,英国/法国/波兰/德国/美国,剧情/传记/战争/音乐
54,狮子王,1994,美国,动画/冒险/歌舞
55,教父2,1974,美国,剧情/犯罪
56,死亡诗社,1989,美国,剧情
57,搏击俱乐部,1999,美国/德国/意大利,剧情/动作/悬疑/惊悚
58,黑客帝国,1999,美国,动作/科幻
59,让子弹飞,2010,中国大陆/中国香港,剧情/喜剧/动作/西部
60,绿皮书,2018,美国/中国大陆,剧情/喜剧/传记/音乐
61,饮食男女,1994,中国台湾/美国,剧情/家庭
62,美丽心灵,2001,美国,传记/剧情
63,海蒂和爷爷,2015,德国/瑞士,剧情/冒险/家庭
64,窃听风暴,2006,德国,剧情/悬疑
65,两杆大烟枪,1998,英国,剧情/喜剧/犯罪
66,本杰明·巴顿奇事,2008,美国,剧情/爱情/奇幻
67,情书,1995,日本,剧情/爱情
68,看不见的客人,2016,西班牙,剧情/犯罪/悬疑/惊悚
69,飞越疯人院,1975,美国,剧情
70,穿条纹睡衣的男孩,2008,英国/美国,剧情/战争
71,西西里的美丽传说,2000,意大利/美国,剧情/战争/情色
72,拯救大兵瑞恩,1998,美国,剧情/战争
73,小鞋子,1997,伊朗,剧情/儿童/家庭
74,音乐之声,1965,美国,剧情/传记/爱情/歌舞
75,阿凡达,2009,美国,动作/科幻/冒险
76,海豚湾,2009,美国,纪录片
77,致命魔术,2006,英国/美国,剧情/悬疑/惊悚
78,美国往事,1984,美国/意大利,犯罪/剧情
79,沉默的羔羊,1991,美国,剧情/犯罪/惊悚
80,禁闭岛,2010,美国,剧情/悬疑/惊悚
81,蝴蝶效应,2004,美国/加拿大,剧情/悬疑/科幻/惊悚
82,低俗小说,1994,美国,剧情/喜剧/犯罪
83,布达佩斯大饭店,2014,美国/德国/英国,剧情/喜剧/冒险
84,心灵捕手,1997,美国,剧情
85,七宗罪,1995,美国,剧情/犯罪/悬疑/惊悚
86,春光乍泄,1997,中国香港/日本/韩国,剧情/爱情/同性
87,哈利·波特与死亡圣器(下),2011,美国/英国,奇幻/冒险
88,摩登时代,1936,美国,剧情/喜剧/爱情
89,喜剧之王,1999,中国香港,喜剧/剧情/爱情
90,被嫌弃的松子的一生,2006,日本,剧情/歌舞
91,致命ID,2003,美国,剧情/悬疑/惊悚
92,杀人回忆,2003,韩国,剧情/动作/犯罪/悬疑/惊悚
93,加勒比海盗,2003,美国,动作/冒险/奇幻
94,剪刀手爱德华,1990,美国,剧情/奇幻/爱情
95,勇敢的心,1995,美国,动作/传记/剧情/历史/战争
96,狩猎,2012,丹麦/瑞典,剧情
97,请以你的名字呼唤我,2017,意大利/法国/巴西/美国/荷兰/德国,剧情/爱情/同性
98,红辣椒,2006,日本,动画/悬疑/科幻/惊悚
99,断背山,2005,美国/加拿大,剧情/爱情/同性/家庭
100,7号房的礼物,2013,韩国,剧情/喜剧/家庭
101,天使爱美丽,2001,法国/德国,剧情/喜剧/爱情
102,幽灵公主,1997,日本,动画/奇幻/冒险
103,小森林 夏秋篇,2014,日本,剧情
104,第六感,1999,美国,剧情/悬疑/惊悚
105,阳光灿烂的日子,1994,中国大陆/中国香港,剧情/爱情
106,超脱,2011,美国,剧情
107,功夫,2004,中国大陆/中国香港,动作/喜剧/犯罪/奇幻
108,重庆森林,1994,中国香港,剧情/爱情
109,唐伯虎点秋香,1993,中国香港,喜剧/爱情/古装
110,爱在黎明破晓前,1995,美国/奥地利/瑞士,剧情/爱情
111,人生果实,2017,日本,纪录片
112,一一,2000,中国台湾/日本,剧情/爱情/家庭
113,小森林 冬春篇,2015,日本,剧情
114,蝙蝠侠：黑暗骑士崛起,2012,美国/英国,剧情/动作/科幻/犯罪/惊悚
115,菊次郎的夏天,1999,日本,剧情/喜剧
116,入殓师,2008,日本,剧情
117,消失的爱人,2014,美国,剧情/犯罪/悬疑/惊悚
118,无人知晓,2004,日本,剧情
119,哈利·波特与阿兹卡班的囚徒,2004,英国/美国,奇幻/冒险
120,倩女幽魂,1987,中国香港,爱情/奇幻/武侠/古装
121,超能陆战队,2014,美国,喜剧/动作/科幻/动画/冒险
122,侧耳倾听,1995,日本,剧情/爱情/动画
123,完美的世界,1993,美国,剧情/犯罪
124,借东西的小人阿莉埃蒂,2010,日本,动画/奇幻/冒险
125,甜蜜蜜,1996,中国香港,剧情/爱情
126,爱在日落黄昏时,2004,美国/法国,剧情/爱情
127,萤火之森,2011,日本,剧情/爱情/动画/奇幻
128,驯龙高手,2010,美国,动画/奇幻/冒险
129,玛丽和马克思,2009,澳大利亚/美国,剧情/喜剧/动画
130,幸福终点站,2004,美国,喜剧/剧情/爱情
131,告白,2010,日本,剧情/悬疑
